num_instancias,num_palavras_validas_geradas,probabilidade,palavras_validas_geradas
10000,5,0.0005,"['morsa', 'aliei', 'duros', 'chile', 'vinte']"
20000,10,0.0005,"['morsa', 'aliei', 'duros', 'chile', 'vinte', 'lista', 'minai', 'togas', 'rolam', 'filio']"
30000,15,0.0005,"['morsa', 'aliei', 'duros', 'chile', 'vinte', 'lista', 'minai', 'togas', 'rolam', 'filio', 'morde', 'sutil', 'vagia', 'gemeu', 'lobos']"
40000,17,0.000425,"['morsa', 'aliei', 'duros', 'chile', 'vinte', 'lista', 'minai', 'togas', 'rolam', 'filio', 'morde', 'sutil', 'vagia', 'gemeu', 'lobos', 'bravo', 'freou']"
50000,20,0.0004,"['morsa', 'aliei', 'duros', 'chile', 'vinte', 'lista', 'minai', 'togas', 'rolam', 'filio', 'morde', 'sutil', 'vagia', 'gemeu', 'lobos', 'bravo', 'freou', 'tapas', 'crema', 'forja']"
60000,22,0.00036666666666666667,"['morsa', 'aliei', 'duros', 'chile', 'vinte', 'lista', 'minai', 'togas', 'rolam', 'filio', 'morde', 'sutil', 'vagia', 'gemeu', 'lobos', 'bravo', 'freou', 'tapas', 'crema', 'forja', 'velho', 'cindi']"
70000,25,0.00035714285714285714,"['morsa', 'aliei', 'duros', 'chile', 'vinte', 'lista', 'minai', 'togas', 'rolam', 'filio', 'morde', 'sutil', 'vagia', 'gemeu', 'lobos', 'bravo', 'freou', 'tapas', 'crema', 'forja', 'velho', 'cindi', 'chiam', 'pompa', 'lobas']"
80000,29,0.0003625,"['morsa', 'aliei', 'duros', 'chile', 'vinte', 'lista', 'minai', 'togas', 'rolam', 'filio', 'morde', 'sutil', 'vagia', 'gemeu', 'lobos', 'bravo', 'freou', 'tapas', 'crema', 'forja', 'velho', 'cindi', 'chiam', 'pompa', 'lobas', 'toada', 'ceies', 'remas', 'refaz']"
90000,34,0.00037777777777777777,"['morsa', 'aliei', 'duros', 'chile', 'vinte', 'lista', 'minai', 'togas', 'rolam', 'filio', 'morde', 'sutil', 'vagia', 'gemeu', 'lobos', 'bravo', 'freou', 'tapas', 'crema', 'forja', 'velho', 'cindi', 'chiam', 'pompa', 'lobas', 'toada', 'ceies', 'remas', 'refaz', 'arduo', 'paulo', 'brabo', 'vogal', 'surte']"
100000,36,0.00036,"['morsa', 'aliei', 'duros', 'chile', 'vinte', 'lista', 'minai', 'togas', 'rolam', 'filio', 'morde', 'sutil', 'vagia', 'gemeu', 'lobos', 'bravo', 'freou', 'tapas', 'crema', 'forja', 'velho', 'cindi', 'chiam', 'pompa', 'lobas', 'toada', 'ceies', 'remas', 'refaz', 'arduo', 'paulo', 'brabo', 'vogal', 'surte', 'cegas', 'abole']"
110000,41,0.00037272727272727273,"['morsa', 'aliei', 'duros', 'chile', 'vinte', 'lista', 'minai', 'togas', 'rolam', 'filio', 'morde', 'sutil', 'vagia', 'gemeu', 'lobos', 'bravo', 'freou', 'tapas', 'crema', 'forja', 'velho', 'cindi', 'chiam', 'pompa', 'lobas', 'toada', 'ceies', 'remas', 'refaz', 'arduo', 'paulo', 'brabo', 'vogal', 'surte', 'cegas', 'abole', 'exibi', 'nesta', 'fruia', 'pesca', 'calca']"
120000,47,0.0003916666666666667,"['morsa', 'aliei', 'duros', 'chile', 'vinte', 'lista', 'minai', 'togas', 'rolam', 'filio', 'morde', 'sutil', 'vagia', 'gemeu', 'lobos', 'bravo', 'freou', 'tapas', 'crema', 'forja', 'velho', 'cindi', 'chiam', 'pompa', 'lobas', 'toada', 'ceies', 'remas', 'refaz', 'arduo', 'paulo', 'brabo', 'vogal', 'surte', 'cegas', 'abole', 'exibi', 'nesta', 'fruia', 'pesca', 'calca', 'suado', 'varra', 'exare', 'afogo', 'autua', 'testo']"
130000,50,0.0003846153846153846,"['morsa', 'aliei', 'duros', 'chile', 'vinte', 'lista', 'minai', 'togas', 'rolam', 'filio', 'morde', 'sutil', 'vagia', 'gemeu', 'lobos', 'bravo', 'freou', 'tapas', 'crema', 'forja', 'velho', 'cindi', 'chiam', 'pompa', 'lobas', 'toada', 'ceies', 'remas', 'refaz', 'arduo', 'paulo', 'brabo', 'vogal', 'surte', 'cegas', 'abole', 'exibi', 'nesta', 'fruia', 'pesca', 'calca', 'suado', 'varra', 'exare', 'afogo', 'autua', 'testo', 'afaga', 'amado', 'aluna']"
140000,58,0.0004142857142857143,"['morsa', 'aliei', 'duros', 'chile', 'vinte', 'lista', 'minai', 'togas', 'rolam', 'filio', 'morde', 'sutil', 'vagia', 'gemeu', 'lobos', 'bravo', 'freou', 'tapas', 'crema', 'forja', 'velho', 'cindi', 'chiam', 'pompa', 'lobas', 'toada', 'ceies', 'remas', 'refaz', 'arduo', 'paulo', 'brabo', 'vogal', 'surte', 'cegas', 'abole', 'exibi', 'nesta', 'fruia', 'pesca', 'calca', 'suado', 'varra', 'exare', 'afogo', 'autua', 'testo', 'afaga', 'amado', 'aluna', 'minar', 'zunis', 'corra', 'aveio', 'recue', 'urgis', 'moiam', 'arara']"
150000,64,0.00042666666666666667,"['morsa', 'aliei', 'duros', 'chile', 'vinte', 'lista', 'minai', 'togas', 'rolam', 'filio', 'morde', 'sutil', 'vagia', 'gemeu', 'lobos', 'bravo', 'freou', 'tapas', 'crema', 'forja', 'velho', 'cindi', 'chiam', 'pompa', 'lobas', 'toada', 'ceies', 'remas', 'refaz', 'arduo', 'paulo', 'brabo', 'vogal', 'surte', 'cegas', 'abole', 'exibi', 'nesta', 'fruia', 'pesca', 'calca', 'suado', 'varra', 'exare', 'afogo', 'autua', 'testo', 'afaga', 'amado', 'aluna', 'minar', 'zunis', 'corra', 'aveio', 'recue', 'urgis', 'moiam', 'arara', 'arais', 'iremo', 'turco', 'feixe', 'andre', 'pudim']"
