num_instancias,num_palavras_validas_geradas,probabilidade,palavras_validas_geradas
10000,7,0.0007,"['ronda', 'leigo', 'abati', 'iscas', 'cuspi', 'alije', 'fotos']"
20000,9,0.00045,"['dures', 'afane', 'vossa', 'juiza', 'adule', 'piaui', 'fadas', 'belos', 'guisa']"
30000,13,0.0004333333333333333,"['corai', 'aarao', 'vazem', 'cofre', 'vosso', 'soves', 'nevam', 'brisa', 'rubis', 'digno', 'balas', 'avies', 'pingo']"
40000,16,0.0004,"['fitar', 'rugas', 'rejam', 'povoa', 'ligar', 'alhos', 'nulos', 'redil', 'orcem', 'talco', 'dubio', 'torta', 'digam', 'viole', 'mamas', 'fedei']"
50000,21,0.00042,"['maior', 'usado', 'frijo', 'atemo', 'temam', 'lacro', 'subam', 'conto', 'vivei', 'lenco', 'tecia', 'feliz', 'suico', 'vazam', 'fruem', 'tibia', 'olhem', 'nadas', 'pesai', 'banis', 'casei']"
60000,22,0.00036666666666666667,"['finto', 'sedie', 'talco', 'sanes', 'naipe', 'cauta', 'turne', 'gozai', 'filma', 'atice', 'serem', 'ceado', 'argui', 'danar', 'finge', 'assam', 'prosa', 'credo', 'usava', 'edite', 'girou', 'santo']"
70000,24,0.00034285714285714285,"['cavia', 'reste', 'sujar', 'tolhi', 'aarao', 'solai', 'ienes', 'salvo', 'cagar', 'torro', 'vulva', 'azulo', 'calor', 'cisca', 'danou', 'sulca', 'capim', 'cujos', 'lidem', 'mocas', 'rompi', 'vodca', 'aviar', 'fossa']"
80000,48,0.0006,"['amado', 'beire', 'abono', 'tinam', 'anexe', 'exato', 'afiem', 'miras', 'abale', 'revia', 'virmo', 'firam', 'soque', 'leias', 'arado', 'saxao', 'saido', 'amplo', 'treze', 'chovo', 'rirei', 'bonde', 'evado', 'armes', 'cuide', 'ganem', 'votou', 'morse', 'horto', 'bicha', 'guiam', 'nardo', 'teces', 'folia', 'quere', 'farsa', 'topai', 'semea', 'untes', 'optou', 'facam', 'opora', 'orlem', 'delta', 'penam', 'seiva', 'inter', 'furou']"
90000,61,0.0006777777777777778,"['viris', 'aereo', 'parte', 'bolsa', 'torco', 'ruivo', 'domem', 'doeis', 'almas', 'viria', 'urres', 'peixe', 'ilhas', 'safas', 'genes', 'duras', 'errai', 'imito', 'moamo', 'notou', 'venda', 'remes', 'chiou', 'ombro', 'alcem', 'gorro', 'feito', 'dizei', 'vetar', 'saque', 'tapei', 'senti', 'bobea', 'lavra', 'nabos', 'fresa', 'toque', 'surte', 'calha', 'damas', 'loira', 'aonde', 'lenta', 'pleno', 'areja', 'linus', 'bolar', 'nanas', 'casai', 'jurar', 'selos', 'bilis', 'choca', 'aviei', 'caras', 'marca', 'lambe', 'mimam', 'saara', 'naval', 'afiar']"
100000,42,0.00042,"['renas', 'pelos', 'irmos', 'louca', 'rigor', 'crede', 'posse', 'laica', 'acido', 'oxida', 'treze', 'magoa', 'alada', 'toros', 'somes', 'serie', 'plato', 'volta', 'lagoa', 'idosa', 'filao', 'danou', 'coeso', 'coram', 'umido', 'freme', 'bazar', 'apear', 'unhas', 'roias', 'ruins', 'verto', 'aliar', 'usado', 'supoe', 'trara', 'pendo', 'unira', 'sabre', 'bolou', 'letra', 'urdam']"
