num_instancias,num_palavras_validas_geradas,probabilidade,palavras_validas_geradas
10000,12,0.0012,"['mrnrm', 'xvdvx', 'kncnk', 'aoyoa', 'ifbfi', 'ypopy', 'gfofg', 'klolk', 'wklkw', 'ppupp', 'janaj', 'qrerq']"
20000,27,0.00135,"['mrnrm', 'xvdvx', 'kncnk', 'aoyoa', 'ifbfi', 'ypopy', 'gfofg', 'klolk', 'wklkw', 'ppupp', 'janaj', 'qrerq', 'pzazp', 'cofoc', 'osfso', 'jltlj', 'annna', 'jmamj', 'usxsu', 'txixt', 'krcrk', 'oabao', 'vqjqv', 'baqab', 'uuouu', 'dvyvd', 'jgzgj']"
30000,48,0.0016,"['mrnrm', 'xvdvx', 'kncnk', 'aoyoa', 'ifbfi', 'ypopy', 'gfofg', 'klolk', 'wklkw', 'ppupp', 'janaj', 'qrerq', 'pzazp', 'cofoc', 'osfso', 'jltlj', 'annna', 'jmamj', 'usxsu', 'txixt', 'krcrk', 'oabao', 'vqjqv', 'baqab', 'uuouu', 'dvyvd', 'jgzgj', 'enxne', 'tqpqt', 'iucui', 'bgggb', 'mqhqm', 'lwowl', 'uucuu', 'aphpa', 'agcga', 'dpqpd', 'uxrxu', 'azvza', 'dyhyd', 'gclcg', 'xhchx', 'abpba', 'cgtgc', 'fjfjf', 'efsfe', 'ajfja', 'mqeqm']"
40000,62,0.00155,"['mrnrm', 'xvdvx', 'kncnk', 'aoyoa', 'ifbfi', 'ypopy', 'gfofg', 'klolk', 'wklkw', 'ppupp', 'janaj', 'qrerq', 'pzazp', 'cofoc', 'osfso', 'jltlj', 'annna', 'jmamj', 'usxsu', 'txixt', 'krcrk', 'oabao', 'vqjqv', 'baqab', 'uuouu', 'dvyvd', 'jgzgj', 'enxne', 'tqpqt', 'iucui', 'bgggb', 'mqhqm', 'lwowl', 'uucuu', 'aphpa', 'agcga', 'dpqpd', 'uxrxu', 'azvza', 'dyhyd', 'gclcg', 'xhchx', 'abpba', 'cgtgc', 'fjfjf', 'efsfe', 'ajfja', 'mqeqm', 'tpgpt', 'rhghr', 'yyjyy', 'nynyn', 'oyxyo', 'vgigv', 'kfsfk', 'dqiqd', 'zrmrz', 'mslsm', 'zawaz', 'rhrhr', 'snsns', 'chzhc']"
50000,79,0.00158,"['mrnrm', 'xvdvx', 'kncnk', 'aoyoa', 'ifbfi', 'ypopy', 'gfofg', 'klolk', 'wklkw', 'ppupp', 'janaj', 'qrerq', 'pzazp', 'cofoc', 'osfso', 'jltlj', 'annna', 'jmamj', 'usxsu', 'txixt', 'krcrk', 'oabao', 'vqjqv', 'baqab', 'uuouu', 'dvyvd', 'jgzgj', 'enxne', 'tqpqt', 'iucui', 'bgggb', 'mqhqm', 'lwowl', 'uucuu', 'aphpa', 'agcga', 'dpqpd', 'uxrxu', 'azvza', 'dyhyd', 'gclcg', 'xhchx', 'abpba', 'cgtgc', 'fjfjf', 'efsfe', 'ajfja', 'mqeqm', 'tpgpt', 'rhghr', 'yyjyy', 'nynyn', 'oyxyo', 'vgigv', 'kfsfk', 'dqiqd', 'zrmrz', 'mslsm', 'zawaz', 'rhrhr', 'snsns', 'chzhc', 'amtma', 'myxym', 'txcxt', 'vqpqv', 'esose', 'gisig', 'bjsjb', 'ogigo', 'gwbwg', 'cypyc', 'mzdzm', 'yclcy', 'jfofj', 'wwlww', 'acdca', 'wcxcw', 'obubo']"
60000,95,0.0015833333333333333,"['mrnrm', 'xvdvx', 'kncnk', 'aoyoa', 'ifbfi', 'ypopy', 'gfofg', 'klolk', 'wklkw', 'ppupp', 'janaj', 'qrerq', 'pzazp', 'cofoc', 'osfso', 'jltlj', 'annna', 'jmamj', 'usxsu', 'txixt', 'krcrk', 'oabao', 'vqjqv', 'baqab', 'uuouu', 'dvyvd', 'jgzgj', 'enxne', 'tqpqt', 'iucui', 'bgggb', 'mqhqm', 'lwowl', 'uucuu', 'aphpa', 'agcga', 'dpqpd', 'uxrxu', 'azvza', 'dyhyd', 'gclcg', 'xhchx', 'abpba', 'cgtgc', 'fjfjf', 'efsfe', 'ajfja', 'mqeqm', 'tpgpt', 'rhghr', 'yyjyy', 'nynyn', 'oyxyo', 'vgigv', 'kfsfk', 'dqiqd', 'zrmrz', 'mslsm', 'zawaz', 'rhrhr', 'snsns', 'chzhc', 'amtma', 'myxym', 'txcxt', 'vqpqv', 'esose', 'gisig', 'bjsjb', 'ogigo', 'gwbwg', 'cypyc', 'mzdzm', 'yclcy', 'jfofj', 'wwlww', 'acdca', 'wcxcw', 'obubo', 'gpqpg', 'wqwqw', 'xmlmx', 'cvgvc', 'gstsg', 'huouh', 'stets', 'didid', 'vnhnv', 'mikim', 'njdjn', 'zwjwz', 'iwbwi', 'obubo', 'qioiq', 'nhrhn']"
70000,110,0.0015714285714285715,"['mrnrm', 'xvdvx', 'kncnk', 'aoyoa', 'ifbfi', 'ypopy', 'gfofg', 'klolk', 'wklkw', 'ppupp', 'janaj', 'qrerq', 'pzazp', 'cofoc', 'osfso', 'jltlj', 'annna', 'jmamj', 'usxsu', 'txixt', 'krcrk', 'oabao', 'vqjqv', 'baqab', 'uuouu', 'dvyvd', 'jgzgj', 'enxne', 'tqpqt', 'iucui', 'bgggb', 'mqhqm', 'lwowl', 'uucuu', 'aphpa', 'agcga', 'dpqpd', 'uxrxu', 'azvza', 'dyhyd', 'gclcg', 'xhchx', 'abpba', 'cgtgc', 'fjfjf', 'efsfe', 'ajfja', 'mqeqm', 'tpgpt', 'rhghr', 'yyjyy', 'nynyn', 'oyxyo', 'vgigv', 'kfsfk', 'dqiqd', 'zrmrz', 'mslsm', 'zawaz', 'rhrhr', 'snsns', 'chzhc', 'amtma', 'myxym', 'txcxt', 'vqpqv', 'esose', 'gisig', 'bjsjb', 'ogigo', 'gwbwg', 'cypyc', 'mzdzm', 'yclcy', 'jfofj', 'wwlww', 'acdca', 'wcxcw', 'obubo', 'gpqpg', 'wqwqw', 'xmlmx', 'cvgvc', 'gstsg', 'huouh', 'stets', 'didid', 'vnhnv', 'mikim', 'njdjn', 'zwjwz', 'iwbwi', 'obubo', 'qioiq', 'nhrhn', 'wsnsw', 'vsbsv', 'jwjwj', 'xpupx', 'zrerz', 'tuwut', 'xfhfx', 'paoap', 'hmvmh', 'dcdcd', 'zxcxz', 'wfdfw', 'awkwa', 'fxoxf', 'deved']"
80000,119,0.0014875,"['mrnrm', 'xvdvx', 'kncnk', 'aoyoa', 'ifbfi', 'ypopy', 'gfofg', 'klolk', 'wklkw', 'ppupp', 'janaj', 'qrerq', 'pzazp', 'cofoc', 'osfso', 'jltlj', 'annna', 'jmamj', 'usxsu', 'txixt', 'krcrk', 'oabao', 'vqjqv', 'baqab', 'uuouu', 'dvyvd', 'jgzgj', 'enxne', 'tqpqt', 'iucui', 'bgggb', 'mqhqm', 'lwowl', 'uucuu', 'aphpa', 'agcga', 'dpqpd', 'uxrxu', 'azvza', 'dyhyd', 'gclcg', 'xhchx', 'abpba', 'cgtgc', 'fjfjf', 'efsfe', 'ajfja', 'mqeqm', 'tpgpt', 'rhghr', 'yyjyy', 'nynyn', 'oyxyo', 'vgigv', 'kfsfk', 'dqiqd', 'zrmrz', 'mslsm', 'zawaz', 'rhrhr', 'snsns', 'chzhc', 'amtma', 'myxym', 'txcxt', 'vqpqv', 'esose', 'gisig', 'bjsjb', 'ogigo', 'gwbwg', 'cypyc', 'mzdzm', 'yclcy', 'jfofj', 'wwlww', 'acdca', 'wcxcw', 'obubo', 'gpqpg', 'wqwqw', 'xmlmx', 'cvgvc', 'gstsg', 'huouh', 'stets', 'didid', 'vnhnv', 'mikim', 'njdjn', 'zwjwz', 'iwbwi', 'obubo', 'qioiq', 'nhrhn', 'wsnsw', 'vsbsv', 'jwjwj', 'xpupx', 'zrerz', 'tuwut', 'xfhfx', 'paoap', 'hmvmh', 'dcdcd', 'zxcxz', 'wfdfw', 'awkwa', 'fxoxf', 'deved', 'ebmbe', 'drxrd', 'jjojj', 'cycyc', 'seues', 'aisia', 'jiiij', 'mxuxm', 'gacag']"
90000,136,0.001511111111111111,"['mrnrm', 'xvdvx', 'kncnk', 'aoyoa', 'ifbfi', 'ypopy', 'gfofg', 'klolk', 'wklkw', 'ppupp', 'janaj', 'qrerq', 'pzazp', 'cofoc', 'osfso', 'jltlj', 'annna', 'jmamj', 'usxsu', 'txixt', 'krcrk', 'oabao', 'vqjqv', 'baqab', 'uuouu', 'dvyvd', 'jgzgj', 'enxne', 'tqpqt', 'iucui', 'bgggb', 'mqhqm', 'lwowl', 'uucuu', 'aphpa', 'agcga', 'dpqpd', 'uxrxu', 'azvza', 'dyhyd', 'gclcg', 'xhchx', 'abpba', 'cgtgc', 'fjfjf', 'efsfe', 'ajfja', 'mqeqm', 'tpgpt', 'rhghr', 'yyjyy', 'nynyn', 'oyxyo', 'vgigv', 'kfsfk', 'dqiqd', 'zrmrz', 'mslsm', 'zawaz', 'rhrhr', 'snsns', 'chzhc', 'amtma', 'myxym', 'txcxt', 'vqpqv', 'esose', 'gisig', 'bjsjb', 'ogigo', 'gwbwg', 'cypyc', 'mzdzm', 'yclcy', 'jfofj', 'wwlww', 'acdca', 'wcxcw', 'obubo', 'gpqpg', 'wqwqw', 'xmlmx', 'cvgvc', 'gstsg', 'huouh', 'stets', 'didid', 'vnhnv', 'mikim', 'njdjn', 'zwjwz', 'iwbwi', 'obubo', 'qioiq', 'nhrhn', 'wsnsw', 'vsbsv', 'jwjwj', 'xpupx', 'zrerz', 'tuwut', 'xfhfx', 'paoap', 'hmvmh', 'dcdcd', 'zxcxz', 'wfdfw', 'awkwa', 'fxoxf', 'deved', 'ebmbe', 'drxrd', 'jjojj', 'cycyc', 'seues', 'aisia', 'jiiij', 'mxuxm', 'gacag', 'pelep', 'dhuhd', 'prmrp', 'ypqpy', 'rjgjr', 'apypa', 'mwnwm', 'girig', 'lycyl', 'mwqwm', 'htvth', 'uwrwu', 'qxlxq', 'bcncb', 'gdzdg', 'azsza', 'ruxur']"
100000,154,0.00154,"['mrnrm', 'xvdvx', 'kncnk', 'aoyoa', 'ifbfi', 'ypopy', 'gfofg', 'klolk', 'wklkw', 'ppupp', 'janaj', 'qrerq', 'pzazp', 'cofoc', 'osfso', 'jltlj', 'annna', 'jmamj', 'usxsu', 'txixt', 'krcrk', 'oabao', 'vqjqv', 'baqab', 'uuouu', 'dvyvd', 'jgzgj', 'enxne', 'tqpqt', 'iucui', 'bgggb', 'mqhqm', 'lwowl', 'uucuu', 'aphpa', 'agcga', 'dpqpd', 'uxrxu', 'azvza', 'dyhyd', 'gclcg', 'xhchx', 'abpba', 'cgtgc', 'fjfjf', 'efsfe', 'ajfja', 'mqeqm', 'tpgpt', 'rhghr', 'yyjyy', 'nynyn', 'oyxyo', 'vgigv', 'kfsfk', 'dqiqd', 'zrmrz', 'mslsm', 'zawaz', 'rhrhr', 'snsns', 'chzhc', 'amtma', 'myxym', 'txcxt', 'vqpqv', 'esose', 'gisig', 'bjsjb', 'ogigo', 'gwbwg', 'cypyc', 'mzdzm', 'yclcy', 'jfofj', 'wwlww', 'acdca', 'wcxcw', 'obubo', 'gpqpg', 'wqwqw', 'xmlmx', 'cvgvc', 'gstsg', 'huouh', 'stets', 'didid', 'vnhnv', 'mikim', 'njdjn', 'zwjwz', 'iwbwi', 'obubo', 'qioiq', 'nhrhn', 'wsnsw', 'vsbsv', 'jwjwj', 'xpupx', 'zrerz', 'tuwut', 'xfhfx', 'paoap', 'hmvmh', 'dcdcd', 'zxcxz', 'wfdfw', 'awkwa', 'fxoxf', 'deved', 'ebmbe', 'drxrd', 'jjojj', 'cycyc', 'seues', 'aisia', 'jiiij', 'mxuxm', 'gacag', 'pelep', 'dhuhd', 'prmrp', 'ypqpy', 'rjgjr', 'apypa', 'mwnwm', 'girig', 'lycyl', 'mwqwm', 'htvth', 'uwrwu', 'qxlxq', 'bcncb', 'gdzdg', 'azsza', 'ruxur', 'zblbz', 'okmko', 'yifiy', 'mnqnm', 'geweg', 'aymya', 'lyoyl', 'fkwkf', 'nctcn', 'ttptt', 'vdhdv', 'xhchx', 'vobov', 'gvlvg', 'ncqcn', 'ykoky', 'fbnbf', 'agqga']"
